Date,Close,High,Low,Open,Volume,MA_10,MA_30,MA_50,Daily_Return,Volatility,Price_Range,Close_lag1,Close_lag2,Close_lag3,Close_lag5,Target
,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,,,
2018-03-14,41.88176345825195,42.36996197589975,41.73389462212503,42.323020568345115,117473600,41.70290985107422,40.09453214009603,40.35747581481934,-0.008501344237749064,0.011183799844640366,0.6360673537747203,42.240867614746094,42.651607513427734,42.24321365356445,41.08137893676758,41.931060791015625
2018-03-15,41.931060791015625,42.304253487330115,41.79493175071051,41.8958556222127,90975200,41.7885799407959,40.187633005778,40.39075569152832,0.0011770596243592113,0.009288636098203691,0.5093217366196043,41.88176345825195,42.240867614746094,42.651607513427734,41.529701232910156,41.783172607421875
2018-03-16,41.783172607421875,42.04135206045374,41.68928623972042,41.93103781677873,157618800,41.831061935424806,40.27307726542155,40.42121803283691,-0.0035269363761347705,0.009274825256129897,0.3520658207333227,41.931060791015625,41.88176345825195,42.240867614746094,42.24321365356445,41.144779205322266
2018-03-19,41.144779205322266,41.654100905167574,40.75985386813316,41.618895738906545,133787200,41.79538764953613,40.39396667480469,40.435172119140624,-0.015278720170383009,0.010542537453483864,0.8942470370344111,41.783172607421875,41.931060791015625,41.88176345825195,42.651607513427734,41.13069534301758
2018-03-20,41.13069534301758,41.49684338174766,41.060281432169425,41.13069534301758,78597600,41.76182403564453,40.545632680257164,40.4396346282959,-0.00034230010651914444,0.010543563783891815,0.436561949578234,41.144779205322266,41.783172607421875,41.931060791015625,42.240867614746094,40.19889450073242
2018-03-21,40.19889450073242,41.09548733194154,40.19654510210862,41.08375108302355,148219600,41.67357559204102,40.61527951558431,40.42849975585938,-0.02265463383281563,0.012424356594510176,0.8989422298329188,41.13069534301758,41.144779205322266,41.783172607421875,41.88176345825195,39.630882263183594
2018-03-22,39.630882263183594,40.529820619288714,39.57220461907548,39.90079799352127,165963200,41.48369369506836,40.69318682352702,40.40609832763672,-0.014130046226482174,0.012027615210262898,0.9576160002132355,40.19889450073242,41.13069534301758,41.144779205322266,41.931060791015625,38.71316909790039
2018-03-23,38.71316909790039,39.88202694835137,38.71316909790039,39.52291999681884,164115200,41.130689239501955,40.77471008300781,40.36552955627442,-0.023156516152953333,0.010587691757525731,1.1688578504509763,39.630882263183594,40.19889450073242,41.13069534301758,41.783172607421875,40.55094909667969
2018-03-26,40.55094909667969,40.62840402011539,39.06523065201155,39.44781005466082,150164800,40.92062339782715,40.90270512898763,40.35708786010742,0.04747170127384304,0.020218660276579738,1.5631733681038398,38.71316909790039,39.630882263183594,40.19889450073242,41.144779205322266,39.51117706298828
2018-03-27,39.51117706298828,41.1095554946715,39.17788847855881,40.76453066529328,163690400,40.647654342651364,40.94675203959147,40.31938888549805,-0.025641126949024762,0.021246448423088257,1.9316670161126837,40.55094909667969,38.71316909790039,39.630882263183594,41.13069534301758,39.07463455200195
